Job ID		Partition Type
43567		cpu-opteron
43570		cpu-opteron
43571		cpu-opteron
43572		cpu-opteron
43573		cpu-opteron
43575		cpu-opteron
43576		cpu-opteron
43584		cpu-opteron
43588		cpu-opteron
43589		cpu-opteron
43590		cpu-opteron
43594		cpu-opteron
43595		cpu-opteron
43596		cpu-opteron
43597		cpu-opteron
43602		cpu-opteron
43603		cpu-opteron
43604		cpu-opteron
43605		cpu-opteron
43606		cpu-opteron
43609		cpu-opteron
43610		cpu-opteron
43611		cpu-opteron
43612		cpu-opteron
43613		cpu-opteron
43614		cpu-opteron
43615		cpu-opteron
43616		cpu-opteron
43618		cpu-opteron
43619		cpu-opteron
43620		cpu-opteron
43621		cpu-opteron
43622		cpu-opteron
43624		cpu-opteron
43630		cpu-opteron
43646		cpu-opteron
43649		cpu-opteron
43651		cpu-opteron
43652		cpu-opteron
43655		cpu-opteron
43657		cpu-opteron
43658		cpu-opteron
43659		cpu-opteron
43660		cpu-opteron
43661		cpu-opteron
43662		cpu-opteron
43663		cpu-opteron
43667		cpu-opteron
43664		cpu-opteron
43681		cpu-opteron
43686		cpu-opteron
43687		cpu-opteron
43688		cpu-opteron
43690		cpu-opteron
43693		cpu-opteron
43705		cpu-opteron
43706		cpu-opteron
43719		cpu-opteron
43720		cpu-opteron
43721		cpu-opteron
43722		cpu-opteron
43723		cpu-opteron
43734		cpu-opteron
43736		cpu-opteron
43747		cpu-opteron
43748		cpu-opteron
43755		cpu-opteron
43758		cpu-opteron
43759		cpu-opteron
43760		cpu-opteron
43782		cpu-opteron
43784		cpu-opteron
43785		cpu-opteron
43786		cpu-opteron
43787		cpu-opteron
43790		cpu-opteron
43794		cpu-opteron
43804		cpu-opteron
43805		cpu-opteron
43808		cpu-opteron
43809		cpu-opteron
43815		cpu-opteron
43816		cpu-opteron
43817		cpu-opteron
43818		cpu-opteron
43819		cpu-opteron
43820		cpu-opteron
43827		cpu-opteron
43829		cpu-opteron
43830		cpu-opteron
43831		cpu-opteron
43833		cpu-opteron
43834		cpu-opteron
43835		cpu-opteron
43836		cpu-opteron
43837		cpu-opteron
43838		cpu-opteron
43839		cpu-opteron
43841		cpu-opteron
43842		cpu-opteron
43843		cpu-opteron
43844		cpu-opteron
43846		cpu-opteron
43847		cpu-opteron
43848		cpu-opteron
43849		cpu-opteron
43850		cpu-opteron
43851		cpu-opteron
43852		cpu-opteron
43858		cpu-opteron
43859		cpu-opteron
43860		cpu-opteron
43861		cpu-opteron
43863		cpu-opteron
43864		cpu-opteron
43876		cpu-opteron
43878		cpu-opteron
43880		cpu-opteron
43883		cpu-opteron
43884		cpu-opteron
43889		cpu-opteron
43890		cpu-opteron
43895		cpu-opteron
43897		cpu-opteron
43898		cpu-opteron
