Job ID		Partition Type
44480		cpu-epyc
44481		cpu-epyc
44483		cpu-epyc
44484		cpu-epyc
44491		cpu-epyc
44493		cpu-epyc
44494		cpu-epyc
44500		cpu-epyc
44508		cpu-epyc
44513		cpu-epyc
44522		cpu-epyc
44525		cpu-epyc
44526		cpu-epyc
44527		cpu-epyc
44528		cpu-epyc
44529		cpu-epyc
44530		cpu-epyc
44531		cpu-epyc
44532		cpu-epyc
44533		cpu-epyc
44534		cpu-epyc
44548		cpu-epyc
44549		cpu-epyc
44550		cpu-epyc
44551		cpu-epyc
44552		cpu-epyc
44553		cpu-epyc
44554		cpu-epyc
44555		cpu-epyc
44556		cpu-epyc
44557		cpu-epyc
44558		cpu-epyc
44559		cpu-epyc
44560		cpu-epyc
44561		cpu-epyc
44562		cpu-epyc
44563		cpu-epyc
44564		cpu-epyc
44565		cpu-epyc
44566		cpu-epyc
44567		cpu-epyc
44568		cpu-epyc
44569		cpu-epyc
44575		cpu-epyc
44576		cpu-epyc
44577		cpu-epyc
44578		cpu-epyc
44579		cpu-epyc
44580		cpu-epyc
44581		cpu-epyc
44582		cpu-epyc
44583		cpu-epyc
44584		cpu-epyc
44585		cpu-epyc
44586		cpu-epyc
44587		cpu-epyc
44588		cpu-epyc
44589		cpu-epyc
44590		cpu-epyc
44591		cpu-epyc
44592		cpu-epyc
44593		cpu-epyc
44594		cpu-epyc
44595		cpu-epyc
44596		cpu-epyc
44597		cpu-epyc
44598		cpu-epyc
44683		cpu-epyc
44684		cpu-epyc
44692		cpu-epyc
44714		cpu-epyc
44716		cpu-epyc
44718		cpu-epyc
44729		cpu-epyc
44719		cpu-epyc
44785		cpu-epyc
44798		cpu-epyc
44801		cpu-epyc
44802		cpu-epyc
44808		cpu-epyc
44821		cpu-epyc
44826		cpu-epyc
44827		cpu-epyc
44831		cpu-epyc
44832		cpu-epyc
44833		cpu-epyc
44834		cpu-epyc
44835		cpu-epyc
44836		cpu-epyc
44837		cpu-epyc
44838		cpu-epyc
44839		cpu-epyc
44840		cpu-epyc
44841		cpu-epyc
44847		cpu-epyc
44723		cpu-epyc
44848		cpu-epyc
44859		cpu-epyc
44861		cpu-epyc
44862		cpu-epyc
44866		cpu-epyc
44888		cpu-epyc
44890		cpu-epyc
44891		cpu-epyc
44892		cpu-epyc
44893		cpu-epyc
44894		cpu-epyc
44901		cpu-epyc
44902		cpu-epyc
44903		cpu-epyc
44906		cpu-epyc
44907		cpu-epyc
44924		cpu-epyc
44927		cpu-epyc
44928		cpu-epyc
44938		cpu-epyc
44939		cpu-epyc
44953		cpu-epyc
44954		cpu-epyc
44956		cpu-epyc
44958		cpu-epyc
44961		cpu-epyc
44962		cpu-epyc
44963		cpu-epyc
44964		cpu-epyc
44965		cpu-epyc
44966		cpu-epyc
44967		cpu-epyc
44968		cpu-epyc
44969		cpu-epyc
44970		cpu-epyc
44971		cpu-epyc
44972		cpu-epyc
44973		cpu-epyc
44974		cpu-epyc
44975		cpu-epyc
44976		cpu-epyc
44990		cpu-epyc
44991		cpu-epyc
44992		cpu-epyc
44993		cpu-epyc
44994		cpu-epyc
44995		cpu-epyc
44996		cpu-epyc
44997		cpu-epyc
44998		cpu-epyc
44999		cpu-epyc
45000		cpu-epyc
45001		cpu-epyc
45002		cpu-epyc
45003		cpu-epyc
45004		cpu-epyc
45005		cpu-epyc
44989		cpu-epyc
45008		cpu-epyc
45009		cpu-epyc
45010		cpu-epyc
45011		cpu-epyc
45012		cpu-epyc
45013		cpu-epyc
45018		cpu-epyc
45027		cpu-epyc
45029		cpu-epyc
45030		cpu-epyc
45031		cpu-epyc
45032		cpu-epyc
45033		cpu-epyc
45034		cpu-epyc
45035		cpu-epyc
45043		cpu-epyc
45044		cpu-epyc
45045		cpu-epyc
45050		cpu-epyc
45051		cpu-epyc
45052		cpu-epyc
45053		cpu-epyc
45054		cpu-epyc
45056		cpu-epyc
45057		cpu-epyc
45058		cpu-epyc
45080		cpu-epyc
45081		cpu-epyc
45095		cpu-epyc
45096		cpu-epyc
45101		cpu-epyc
45103		cpu-epyc
45120		cpu-epyc
45123		cpu-epyc
45129		cpu-epyc
45130		cpu-epyc
45132		cpu-epyc
45133		cpu-epyc
45134		cpu-epyc
45135		cpu-epyc
45136		cpu-epyc
45137		cpu-epyc
45138		cpu-epyc
45139		cpu-epyc
45155		cpu-epyc
45156		cpu-epyc
45159		cpu-epyc
45160		cpu-epyc
45161		cpu-epyc
45165		cpu-epyc
45166		cpu-epyc
45167		cpu-epyc
45168		cpu-epyc
45171		cpu-epyc
45172		cpu-epyc
45173		cpu-epyc
45174		cpu-epyc
45175		cpu-epyc
45176		cpu-epyc
45177		cpu-epyc
45178		cpu-epyc
45180		cpu-epyc
45182		cpu-epyc
45190		cpu-epyc
45191		cpu-epyc
45192		cpu-epyc
45193		cpu-epyc
45194		cpu-epyc
45195		cpu-epyc
45196		cpu-epyc
45197		cpu-epyc
45198		cpu-epyc
45199		cpu-epyc
45200		cpu-epyc
45201		cpu-epyc
45202		cpu-epyc
45203		cpu-epyc
45204		cpu-epyc
45205		cpu-epyc
45206		cpu-epyc
45207		cpu-epyc
45208		cpu-epyc
45183		cpu-epyc
45212		cpu-epyc
45213		cpu-epyc
45214		cpu-epyc
45215		cpu-epyc
45220		cpu-epyc
45221		cpu-epyc
45224		cpu-epyc
45227		cpu-epyc
45229		cpu-epyc
45234		cpu-epyc
45236		cpu-epyc
45244		cpu-epyc
45245		cpu-epyc
45246		cpu-epyc
45247		cpu-epyc
45248		cpu-epyc
45249		cpu-epyc
45250		cpu-epyc
45251		cpu-epyc
45256		cpu-epyc
45258		cpu-epyc
45259		cpu-epyc
45260		cpu-epyc
45261		cpu-epyc
45262		cpu-epyc
45263		cpu-epyc
45264		cpu-epyc
45265		cpu-epyc
45266		cpu-epyc
45267		cpu-epyc
45268		cpu-epyc
45273		cpu-epyc
45275		cpu-epyc
45276		cpu-epyc
45280		cpu-epyc
45281		cpu-epyc
45290		cpu-epyc
45291		cpu-epyc
45292		cpu-epyc
45293		cpu-epyc
45294		cpu-epyc
45297		cpu-epyc
45298		cpu-epyc
45300		cpu-epyc
45301		cpu-epyc
45302		cpu-epyc
45305		cpu-epyc
45306		cpu-epyc
45307		cpu-epyc
45310		cpu-epyc
45315		cpu-epyc
45320		cpu-epyc
45323		cpu-epyc
45328		cpu-epyc
45329		cpu-epyc
45330		cpu-epyc
45331		cpu-epyc
45332		cpu-epyc
45333		cpu-epyc
45334		cpu-epyc
45335		cpu-epyc
45361		cpu-epyc
45362		cpu-epyc
45376		cpu-epyc
45377		cpu-epyc
45378		cpu-epyc
45379		cpu-epyc
45398		cpu-epyc
45402		cpu-epyc
45403		cpu-epyc
45404		cpu-epyc
45405		cpu-epyc
45411		cpu-epyc
45412		cpu-epyc
45417		cpu-epyc
45422		cpu-epyc
45423		cpu-epyc
45424		cpu-epyc
45428		cpu-epyc
45429		cpu-epyc
45430		cpu-epyc
45431		cpu-epyc
45432		cpu-epyc
45435		cpu-epyc
45439		cpu-epyc
45473		cpu-epyc
45474		cpu-epyc
45472		cpu-epyc
45475		cpu-epyc
45477		cpu-epyc
45478		cpu-epyc
45480		cpu-epyc
45496		cpu-epyc
45502		cpu-epyc
45503		cpu-epyc
45512		cpu-epyc
45513		cpu-epyc
45516		cpu-epyc
45518		cpu-epyc
45519		cpu-epyc
45520		cpu-epyc
45521		cpu-epyc
45526		cpu-epyc
45527		cpu-epyc
45529		cpu-epyc
45536		cpu-epyc
45539		cpu-epyc
45542		cpu-epyc
45543		cpu-epyc
45544		cpu-epyc
45551		cpu-epyc
45552		cpu-epyc
45555		cpu-epyc
45557		cpu-epyc
45554		cpu-epyc
45602		cpu-epyc
45603		cpu-epyc
45604		cpu-epyc
45605		cpu-epyc
45606		cpu-epyc
45609		cpu-epyc
45631		cpu-epyc
45632		cpu-epyc
45633		cpu-epyc
45634		cpu-epyc
45641		cpu-epyc
45643		cpu-epyc
45645		cpu-epyc
45646		cpu-epyc
45648		cpu-epyc
45748		cpu-epyc
45749		cpu-epyc
45787		cpu-epyc
45806		cpu-epyc
45808		cpu-epyc
45809		cpu-epyc
45818		cpu-epyc
45819		cpu-epyc
45820		cpu-epyc
45821		cpu-epyc
45788		cpu-epyc
45860		cpu-epyc
45861		cpu-epyc
45862		cpu-epyc
45789		cpu-epyc
45864		cpu-epyc
45868		cpu-epyc
45870		cpu-epyc
45871		cpu-epyc
45790		cpu-epyc
45873		cpu-epyc
45791		cpu-epyc
45792		cpu-epyc
45875		cpu-epyc
45876		cpu-epyc
45877		cpu-epyc
45878		cpu-epyc
45879		cpu-epyc
45880		cpu-epyc
45881		cpu-epyc
45882		cpu-epyc
45887		cpu-epyc
45888		cpu-epyc
45889		cpu-epyc
45890		cpu-epyc
45891		cpu-epyc
45892		cpu-epyc
45893		cpu-epyc
45894		cpu-epyc
45895		cpu-epyc
45896		cpu-epyc
45899		cpu-epyc
45898		cpu-epyc
45901		cpu-epyc
45903		cpu-epyc
45904		cpu-epyc
45793		cpu-epyc
45794		cpu-epyc
45795		cpu-epyc
45905		cpu-epyc
45796		cpu-epyc
45908		cpu-epyc
45909		cpu-epyc
45910		cpu-epyc
45911		cpu-epyc
45913		cpu-epyc
45914		cpu-epyc
45915		cpu-epyc
45919		cpu-epyc
45920		cpu-epyc
45921		cpu-epyc
45922		cpu-epyc
45923		cpu-epyc
45916		cpu-epyc
45926		cpu-epyc
45931		cpu-epyc
45932		cpu-epyc
45933		cpu-epyc
45984		cpu-epyc
45985		cpu-epyc
45986		cpu-epyc
45987		cpu-epyc
45988		cpu-epyc
45934		cpu-epyc
45989		cpu-epyc
45991		cpu-epyc
45937		cpu-epyc
45992		cpu-epyc
45993		cpu-epyc
45995		cpu-epyc
45997		cpu-epyc
45938		cpu-epyc
45998		cpu-epyc
46002		cpu-epyc
46003		cpu-epyc
46008		cpu-epyc
46009		cpu-epyc
46012		cpu-epyc
46014		cpu-epyc
46016		cpu-epyc
45939		cpu-epyc
46017		cpu-epyc
45940		cpu-epyc
46018		cpu-epyc
45941		cpu-epyc
46020		cpu-epyc
45942		cpu-epyc
45943		cpu-epyc
46024		cpu-epyc
45944		cpu-epyc
46025		cpu-epyc
45945		cpu-epyc
45946		cpu-epyc
45947		cpu-epyc
46046		cpu-epyc
45948		cpu-epyc
45949		cpu-epyc
45950		cpu-epyc
45951		cpu-epyc
45952		cpu-epyc
45953		cpu-epyc
45954		cpu-epyc
45955		cpu-epyc
45956		cpu-epyc
45957		cpu-epyc
45958		cpu-epyc
45959		cpu-epyc
45960		cpu-epyc
45961		cpu-epyc
45962		cpu-epyc
45963		cpu-epyc
45964		cpu-epyc
45965		cpu-epyc
45966		cpu-epyc
45967		cpu-epyc
45968		cpu-epyc
45969		cpu-epyc
45970		cpu-epyc
45971		cpu-epyc
45972		cpu-epyc
45973		cpu-epyc
45974		cpu-epyc
45975		cpu-epyc
45976		cpu-epyc
45977		cpu-epyc
45978		cpu-epyc
45979		cpu-epyc
45980		cpu-epyc
45981		cpu-epyc
45982		cpu-epyc
45983		cpu-epyc
46023		cpu-epyc
46026		cpu-epyc
46027		cpu-epyc
46028		cpu-epyc
46056		cpu-epyc
46057		cpu-epyc
46059		cpu-epyc
46062		cpu-epyc
46064		cpu-epyc
46067		cpu-epyc
46068		cpu-epyc
46069		cpu-epyc
46071		cpu-epyc
46073		cpu-epyc
46074		cpu-epyc
46075		cpu-epyc
46076		cpu-epyc
46077		cpu-epyc
46084		cpu-epyc
46086		cpu-epyc
46089		cpu-epyc
46029		cpu-epyc
46030		cpu-epyc
46031		cpu-epyc
46032		cpu-epyc
46101		cpu-epyc
46033		cpu-epyc
46034		cpu-epyc
46035		cpu-epyc
46102		cpu-epyc
46036		cpu-epyc
46037		cpu-epyc
46038		cpu-epyc
46039		cpu-epyc
46040		cpu-epyc
46100		cpu-epyc
46141		cpu-epyc
46142		cpu-epyc
46150		cpu-epyc
46151		cpu-epyc
46188		cpu-epyc
46190		cpu-epyc
46193		cpu-epyc
46201		cpu-epyc
46204		cpu-epyc
46205		cpu-epyc
45637		cpu-epyc
45638		cpu-epyc
45639		cpu-epyc
45628		cpu-epyc
45629		cpu-epyc
46210		cpu-epyc
46214		cpu-epyc
46217		cpu-epyc
46225		cpu-epyc
46227		cpu-epyc
46228		cpu-epyc
46229		cpu-epyc
46230		cpu-epyc
46231		cpu-epyc
46248		cpu-epyc
46249		cpu-epyc
46253		cpu-epyc
46255		cpu-epyc
46256		cpu-epyc
46257		cpu-epyc
46258		cpu-epyc
46259		cpu-epyc
46260		cpu-epyc
46261		cpu-epyc
46264		cpu-epyc
46266		cpu-epyc
46268		cpu-epyc
46269		cpu-epyc
46270		cpu-epyc
46271		cpu-epyc
46272		cpu-epyc
46273		cpu-epyc
46274		cpu-epyc
46275		cpu-epyc
46276		cpu-epyc
46278		cpu-epyc
46281		cpu-epyc
46282		cpu-epyc
46284		cpu-epyc
46285		cpu-epyc
46286		cpu-epyc
46287		cpu-epyc
46288		cpu-epyc
46289		cpu-epyc
46290		cpu-epyc
46291		cpu-epyc
46292		cpu-epyc
46293		cpu-epyc
46294		cpu-epyc
46295		cpu-epyc
46296		cpu-epyc
46297		cpu-epyc
46298		cpu-epyc
46299		cpu-epyc
46300		cpu-epyc
46301		cpu-epyc
46305		cpu-epyc
46306		cpu-epyc
46307		cpu-epyc
46308		cpu-epyc
46309		cpu-epyc
46314		cpu-epyc
46319		cpu-epyc
46310		cpu-epyc
46325		cpu-epyc
46333		cpu-epyc
46334		cpu-epyc
46337		cpu-epyc
46311		cpu-epyc
46349		cpu-epyc
46350		cpu-epyc
46312		cpu-epyc
46332		cpu-epyc
46360		cpu-epyc
46361		cpu-epyc
46362		cpu-epyc
46371		cpu-epyc
46372		cpu-epyc
46375		cpu-epyc
46376		cpu-epyc
46378		cpu-epyc
46379		cpu-epyc
46380		cpu-epyc
46381		cpu-epyc
46382		cpu-epyc
46383		cpu-epyc
46384		cpu-epyc
46385		cpu-epyc
46386		cpu-epyc
46387		cpu-epyc
46396		cpu-epyc
46397		cpu-epyc
46398		cpu-epyc
46373		cpu-epyc
46399		cpu-epyc
46400		cpu-epyc
46401		cpu-epyc
46402		cpu-epyc
46403		cpu-epyc
46405		cpu-epyc
46460		cpu-epyc
46471		cpu-epyc
46472		cpu-epyc
46473		cpu-epyc
46474		cpu-epyc
46479		cpu-epyc
46480		cpu-epyc
46481		cpu-epyc
46482		cpu-epyc
46483		cpu-epyc
46484		cpu-epyc
46485		cpu-epyc
46487		cpu-epyc
46494		cpu-epyc
46495		cpu-epyc
46543		cpu-epyc
46544		cpu-epyc
46556		cpu-epyc
46558		cpu-epyc
46559		cpu-epyc
46564		cpu-epyc
46573		cpu-epyc
46575		cpu-epyc
46576		cpu-epyc
46577		cpu-epyc
46578		cpu-epyc
46579		cpu-epyc
46580		cpu-epyc
46592		cpu-epyc
46594		cpu-epyc
46595		cpu-epyc
46596		cpu-epyc
46597		cpu-epyc
46598		cpu-epyc
46600		cpu-epyc
46601		cpu-epyc
46604		cpu-epyc
46606		cpu-epyc
46610		cpu-epyc
46611		cpu-epyc
46616		cpu-epyc
46624		cpu-epyc
46628		cpu-epyc
46618		cpu-epyc
46632		cpu-epyc
46642		cpu-epyc
46643		cpu-epyc
46644		cpu-epyc
46645		cpu-epyc
46646		cpu-epyc
46647		cpu-epyc
46648		cpu-epyc
46649		cpu-epyc
46650		cpu-epyc
46651		cpu-epyc
46652		cpu-epyc
46653		cpu-epyc
46654		cpu-epyc
46655		cpu-epyc
46656		cpu-epyc
46657		cpu-epyc
46658		cpu-epyc
46659		cpu-epyc
46660		cpu-epyc
46661		cpu-epyc
46662		cpu-epyc
46663		cpu-epyc
46664		cpu-epyc
46665		cpu-epyc
46666		cpu-epyc
46667		cpu-epyc
46668		cpu-epyc
46669		cpu-epyc
46674		cpu-epyc
46670		cpu-epyc
46641		cpu-epyc
46692		cpu-epyc
46705		cpu-epyc
46706		cpu-epyc
46708		cpu-epyc
46718		cpu-epyc
46720		cpu-epyc
46696		cpu-epyc
46722		cpu-epyc
46724		cpu-epyc
46732		cpu-epyc
46733		cpu-epyc
46734		cpu-epyc
46735		cpu-epyc
46736		cpu-epyc
46737		cpu-epyc
46738		cpu-epyc
46739		cpu-epyc
46740		cpu-epyc
46741		cpu-epyc
46742		cpu-epyc
46743		cpu-epyc
46744		cpu-epyc
46745		cpu-epyc
46746		cpu-epyc
46747		cpu-epyc
46748		cpu-epyc
46749		cpu-epyc
46750		cpu-epyc
46751		cpu-epyc
46752		cpu-epyc
46753		cpu-epyc
46754		cpu-epyc
46767		cpu-epyc
46768		cpu-epyc
46769		cpu-epyc
46770		cpu-epyc
46771		cpu-epyc
46772		cpu-epyc
46857		cpu-epyc
46858		cpu-epyc
46859		cpu-epyc
46860		cpu-epyc
46861		cpu-epyc
46862		cpu-epyc
46863		cpu-epyc
46864		cpu-epyc
46865		cpu-epyc
46866		cpu-epyc
46773		cpu-epyc
46774		cpu-epyc
46775		cpu-epyc
46776		cpu-epyc
46777		cpu-epyc
46778		cpu-epyc
46878		cpu-epyc
46880		cpu-epyc
46882		cpu-epyc
46779		cpu-epyc
46780		cpu-epyc
46817		cpu-epyc
46876		cpu-epyc
46877		cpu-epyc
46881		cpu-epyc
46895		cpu-epyc
46903		cpu-epyc
46904		cpu-epyc
46907		cpu-epyc
46911		cpu-epyc
46916		cpu-epyc
46912		cpu-epyc
47059		cpu-epyc
47060		cpu-epyc
47063		cpu-epyc
47064		cpu-epyc
47067		cpu-epyc
47069		cpu-epyc
47070		cpu-epyc
47071		cpu-epyc
47090		cpu-epyc
47092		cpu-epyc
47093		cpu-epyc
47102		cpu-epyc
46935		cpu-epyc
47127		cpu-epyc
47128		cpu-epyc
47129		cpu-epyc
47130		cpu-epyc
47131		cpu-epyc
47132		cpu-epyc
47133		cpu-epyc
47134		cpu-epyc
47135		cpu-epyc
47136		cpu-epyc
47137		cpu-epyc
47138		cpu-epyc
47139		cpu-epyc
47140		cpu-epyc
47141		cpu-epyc
47142		cpu-epyc
47143		cpu-epyc
47144		cpu-epyc
47145		cpu-epyc
47146		cpu-epyc
47147		cpu-epyc
47148		cpu-epyc
47149		cpu-epyc
47151		cpu-epyc
47152		cpu-epyc
47154		cpu-epyc
47155		cpu-epyc
47156		cpu-epyc
47157		cpu-epyc
47158		cpu-epyc
47159		cpu-epyc
47160		cpu-epyc
47161		cpu-epyc
47162		cpu-epyc
47163		cpu-epyc
47164		cpu-epyc
47165		cpu-epyc
47166		cpu-epyc
46941		cpu-epyc
46942		cpu-epyc
47330		cpu-epyc
47331		cpu-epyc
47332		cpu-epyc
47333		cpu-epyc
47334		cpu-epyc
47335		cpu-epyc
47337		cpu-epyc
47338		cpu-epyc
47339		cpu-epyc
47340		cpu-epyc
47341		cpu-epyc
47342		cpu-epyc
47343		cpu-epyc
47344		cpu-epyc
47345		cpu-epyc
47346		cpu-epyc
47347		cpu-epyc
47348		cpu-epyc
47349		cpu-epyc
47350		cpu-epyc
47351		cpu-epyc
47352		cpu-epyc
47353		cpu-epyc
47354		cpu-epyc
47356		cpu-epyc
47357		cpu-epyc
47358		cpu-epyc
47359		cpu-epyc
47360		cpu-epyc
47361		cpu-epyc
47362		cpu-epyc
47363		cpu-epyc
47364		cpu-epyc
47365		cpu-epyc
47366		cpu-epyc
47367		cpu-epyc
47368		cpu-epyc
47369		cpu-epyc
47370		cpu-epyc
47371		cpu-epyc
47372		cpu-epyc
47373		cpu-epyc
47375		cpu-epyc
47376		cpu-epyc
47377		cpu-epyc
47378		cpu-epyc
47379		cpu-epyc
47380		cpu-epyc
47381		cpu-epyc
47382		cpu-epyc
47383		cpu-epyc
47384		cpu-epyc
47385		cpu-epyc
47386		cpu-epyc
47387		cpu-epyc
47388		cpu-epyc
47389		cpu-epyc
47390		cpu-epyc
47391		cpu-epyc
47392		cpu-epyc
47393		cpu-epyc
47394		cpu-epyc
47395		cpu-epyc
47396		cpu-epyc
47397		cpu-epyc
47398		cpu-epyc
47399		cpu-epyc
47400		cpu-epyc
47401		cpu-epyc
47402		cpu-epyc
47403		cpu-epyc
47404		cpu-epyc
47405		cpu-epyc
47410		cpu-epyc
47411		cpu-epyc
47413		cpu-epyc
47414		cpu-epyc
47415		cpu-epyc
47416		cpu-epyc
47418		cpu-epyc
47419		cpu-epyc
47420		cpu-epyc
47422		cpu-epyc
47424		cpu-epyc
47425		cpu-epyc
47427		cpu-epyc
47428		cpu-epyc
47429		cpu-epyc
47430		cpu-epyc
47431		cpu-epyc
47435		cpu-epyc
47436		cpu-epyc
47437		cpu-epyc
47438		cpu-epyc
47441		cpu-epyc
47442		cpu-epyc
47443		cpu-epyc
47444		cpu-epyc
47445		cpu-epyc
47446		cpu-epyc
47447		cpu-epyc
47448		cpu-epyc
47449		cpu-epyc
47450		cpu-epyc
47451		cpu-epyc
47456		cpu-epyc
47457		cpu-epyc
47459		cpu-epyc
47460		cpu-epyc
47462		cpu-epyc
47464		cpu-epyc
47465		cpu-epyc
47466		cpu-epyc
47470		cpu-epyc
47471		cpu-epyc
47472		cpu-epyc
47473		cpu-epyc
47474		cpu-epyc
47475		cpu-epyc
47476		cpu-epyc
47477		cpu-epyc
47479		cpu-epyc
47480		cpu-epyc
47481		cpu-epyc
47482		cpu-epyc
47483		cpu-epyc
47484		cpu-epyc
47485		cpu-epyc
