Job ID		Partition Type
50423		gpu-k10
50425		gpu-k10
50502		gpu-k10
50503		gpu-k10
50543		gpu-k10
50544		gpu-k10
50849		gpu-k10
50983		gpu-k10
50985		gpu-k10
50986		gpu-k10
51030		gpu-k10
51031		gpu-k10
51032		gpu-k10
51042		gpu-k10
51113		gpu-k10
51136		gpu-k10
51137		gpu-k10
51138		gpu-k10
51139		gpu-k10
51156		gpu-k10
51158		gpu-k10
51386		gpu-k10
51387		gpu-k10
51391		gpu-k10
51396		gpu-k10
51555		gpu-k10
51556		gpu-k10
51569		gpu-k10
51570		gpu-k10
51584		gpu-k10
51588		gpu-k10
51590		gpu-k10
51593		gpu-k10
51595		gpu-k10
51687		gpu-k10
51692		gpu-k10
51731		gpu-k10
51733		gpu-k10
51734		gpu-k10
51737		gpu-k10
51738		gpu-k10
51741		gpu-k10
51742		gpu-k10
51743		gpu-k10
51744		gpu-k10
51745		gpu-k10
51761		gpu-k10
51773		gpu-k10
51778		gpu-k10
51785		gpu-k10
51788		gpu-k10
51789		gpu-k10
51790		gpu-k10
51791		gpu-k10
51794		gpu-k10
51795		gpu-k10
51796		gpu-k10
51813		gpu-k10
51912		gpu-k10
51913		gpu-k10
51916		gpu-k10
51917		gpu-k10
51950		gpu-k10
51951		gpu-k10
51954		gpu-k10
51959		gpu-k10
51963		gpu-k10
51964		gpu-k10
51968		gpu-k10
51970		gpu-k10
51973		gpu-k10
51974		gpu-k10
51975		gpu-k10
51976		gpu-k10
51977		gpu-k10
51983		gpu-k10
51980		gpu-k10
52277		gpu-k10
52298		gpu-k10
52299		gpu-k10
52306		gpu-k10
52307		gpu-k10
52310		gpu-k10
52311		gpu-k10
52644		gpu-k10
52684		gpu-k10
52787		gpu-k10
52699		gpu-k10
52701		gpu-k10
52923		gpu-k10
52917		gpu-k10
53041		gpu-k10
53042		gpu-k10
53240		gpu-k10
53319		gpu-k10
53321		gpu-k10
53324		gpu-k10
53325		gpu-k10
53360		gpu-k10
53412		gpu-k10
53241		gpu-k10
53414		gpu-k10
53516		gpu-k10
53517		gpu-k10
53629		gpu-k10
53630		gpu-k10
53780		gpu-k10
53788		gpu-k10
53791		gpu-k10
53941		gpu-k10
